问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
276 、冲压过程中若发生异常，应采取以下哪些措施,A|B|C,A、立即切断电源,B、保护现场,C、通知有关人员及时排除故障,D、将工件从模具中取出
277 、使用钻床时，应检查以下哪些方面，确认无误后方可进行工作,A|C|D,A、要使用的钻床,B、锯条的松紧,C、钻床夹具,D、钻床工具
278 、使用摇臂钻床时，应该做好以下哪些工作,B|C|D,A、使锯条的松紧适当,B、在横臂回转范围内不准站非操作人员,C、清除所有障碍物,D、夹紧横臂
279 、使用起重设备起重过程中必须做到（ ）。,A|B|C,A、精心操作,B、随时监控起重设备工作状态,C、人员所站位置合理
280 、超级恒温水浴使用注意事项是,A|B,A、超级恒温水浴内加热用水一定要使用去离子水（或蒸馏水），切勿使用硬水,B、恒温水浴内去离子水未加到“正常水位”严禁通电，防止干烧,C、可以使用自来水,D、无人看管时也可以运转
281 、静电的电量虽然不大，但其放电时产生的静电火花会有可能引起爆炸和火灾，比较常见的是放电时瞬间的电流造成精密实验仪器损坏，正确的预防措施有（　）。,A|B|C|,A、适当的提高工作场所的湿度,B、进行特殊危险实验时，操作人员应先接触设置在安全区内的金属接地棒，以消除人体电位,C、尽量穿不宜产生静电的工作服，不要在易产生静电的场所梳理头发
282 、下列陈述哪些是正确的？,A|B,A、丙酮、乙醇都有较强的挥发性和易燃性，二者都不能在任何有明火的地方使用。,B、丙酮会对肝脏和大脑造成损害，因此避免吸入丙酮气体。,C、强酸强碱等不能与身体接触；弱酸弱碱在使用中可以与身体接触。,D、从试剂瓶中取出固体化学粉末状试剂时，可以使用专用工具伸入瓶子内部取粉末试剂；移取液体时可以同样操作。
283 、下列哪些是焊接场地环境的有害因素,A|B|C|D,A、弧光辐射,B、电磁辐射,C、焊接烟尘,D、噪声,E、诱发火灾
284 、引发电气火灾的初始原因有多种，请从下列选项中选择4种最主要的。,A|C|D|F,A、电路接触不良。,B、带电改接电气线路。,C、线路或设备过电流运行。,D、电热器挨近可燃物。,E、工作现场有易燃易爆气体。,F、绝缘老化或破坏。
285 、在铸造实习期间，下列哪些情况是不允许的,A|B|C|D,A、在车间打闹,B、随意攀登吊车、墙梯或者其它设备,C、在吊车吊运物体运行线上行走或停留,D、随意乱动铸造车间的设备
286 、往玻璃管上套橡皮管（塞）时，应注意做到以下事项,A|B|C|D,A、管端应烧圆滑,B、用水或甘油浸湿橡皮管（塞）内部,C、用布裹手或带厚手套，以防割伤手,D、尽量不要使用薄壁玻管
287 、ABC干粉灭火器适用于（ ）。,A|B|C,A、电器起火,B、可燃气体起火,C、有机溶剂起火
288 、压力容器按工作温度怎样区分（低温、常温、高温）？,A|B|C,A、低温容器 ≤-20摄氏度。,B、常温容器-20 摄氏度 450 摄氏度。,C、高温容器 ≥450摄氏度。
289 、实验室中常常用到一些压力容器（如高压反应釜、气体钢瓶等） ，下列被严格禁止的行为是 （ ）。,A|B|C|D,A、带压拆卸压紧螺栓,B、气体钢瓶螺栓受冻，不能拧开，可以用火烧烤,C、在搬动、存放、更换气体钢瓶时不安装防震垫圈,D、学生在没有经过培训、没有老师在场知道的情况下使用气瓶
290 、操作剪板机进行剪板工作前，应进行以下哪些措施,A|C|D,A、确认刀口间隙与剪切板材厚度是否相符,B、加注润滑油,C、检查床面、无压脚区，不准堆放杂物和工量具,D、先进行机床空转运行检查
291 、存储化学品，应注意的事项有（ ）。,A|B|C|D,A、化学危险物品应当分类、分项存放，相互之间保持安全距离,B、遇火、遇潮容易燃烧、爆炸或产生有毒气体的化学危险品，不得在露天、潮湿、漏雨或低洼容易积水的地点存放,C、受阳光照射易燃烧、易爆炸或产生有毒气体的化学危险品和桶装、罐装等易燃液体、气体应当在阴凉通风地点存放,D、化学性质防护和灭火方法相互抵触的化学危险品，不得在同一仓库或同一储存室存放
292 、锻造过程中，对站立位置有何要求,A|B,A、不要站立在容易飞出火星的地方,B、不要站立在容易飞出锻件毛边的地方,C、不要站在锻造设备附近,D、对站立位置没有限制要求
293 、高温实验装置使用时应注意,A|B|C|D,A、注意防护高温对人体的辐射,B、熟悉高温装置的使用方法，并细心地进行操作,C、不得已非将高温炉之类高温装置，置于耐热性差的实验台上进行实验时，装置与台面之间要保留一厘米以上的间隙，并加垫隔热层，以防台面着火,D、使用高温装置的实验，要求在防火建筑内或配备有防火设施的室内进行，并保持室内通风良好
294 、涉及有毒试剂的操作时，应采取的保护措施包括,A|B|C|,A、佩戴适当的个人防护器具,B、了解试剂毒性,C、在通风橱中操作
295 、不适合在化学实验室穿着的鞋有（ ）。,A|B|C,A、凉鞋,B、高跟鞋,C、拖鞋,D、球鞋
296 、以下药品中，不宜与水直接接触的是,A|B|D,A、金属钠、钾,B、电石,C、白磷,D、金属氢化物
297 、下列属于危险化学品的是,A|B|C|D|E,A、易燃液体,B、氧化剂和有机过氧化物,C、汽油,D、放射性物品,E、剧毒药品和感染性物品
298 、静电的电量虽然不大，但其放电时产生的静电火花会有可能引起爆炸和火灾，比较常见的是放电时瞬间的电流造成精密实验仪器损坏，正确的预防措施有（　）。,A|B|C|,A、适当的提高工作场所的湿度,B、进行特殊危险实验时，操作人员应先接触设置在安全区内的金属接地棒，以消除人体电位,C、尽量穿不宜产生静电的工作服，不要在易产生静电的场所梳理头发
299 、发生案件时应做到（ ）。,A|C,A、立即报案，妥善保护案发现场，提供线索,B、立即查看损失情况,C、为救人可能破坏现场时应尽可能记住现场破坏前的情况
300 、被起重物停放就位（ ），避免出现滑移、倾倒等问题。,A|B,A、安置位置要得当,B、码放要稳妥
301 、从事结构破坏试验过程中需按要求（ ）,A|B,A、戴安全帽,B、穿长袖工作服,C、穿绝缘鞋
302 、使用摇臂钻床工作结束时，应做好哪些工作,A|C,A、将横臂降到最低位置,B、戴好防护手套,C、主轴箱靠近主轴,D、戴好防护眼镜
303 、领取及存放化学药品时，需要做的事情有,A|B|C,A、确认容器上标示的中文名称是否为需要的实验用药品,B、学习并清楚化学药品危害标示和图样,C、化学药品应分类存放,D、有机溶剂，固体化学药品，酸、碱化合物可以存放于同一药品柜中
304 、恒温箱用于,B|D,A、干燥,B、微生物培养,C、干热灭菌,D、生物材料培养
305 、实验过程中发生烧烫(灼)伤，正确的处理方法是,A|B|D,A、浅表的小面积灼伤，以冷水冲洗15至30分钟至散热止痛,B、以生理食盐水擦拭（勿以药膏、牙膏、酱油涂抹或以纱布盖住）,C、若有水泡可自行刺破,D、大面积的灼伤，应紧急送至医院
306 、防止人身触电事故发生的安全措施有（　）,A|B|D|,A、穿好绝缘防护鞋,B、戴好绝缘防护手套,C、正确使用焊接防护面罩,D、设备安全检查合格
307 、影响混合物爆炸极限的因素有（ ）。,A|B|C|D,A、混合物的温度,B、混合物的压力,C、混合物的含氧量,D、容器的大小,E、混合物的多少
308 、车床安全操作规程中规定，车床启动前需要做的事情是（　）,B|C|D,A、进行极限位置检查,B、检查安全罩是否挂好,C、检查各手柄是否处于正常位置,D、检查工件和车刀是否已安装好
309 、操作机床前必须检查( ),C|D|,A、灯光,B、润滑油位,C、刀具安装是否牢固,D、夹具安装是否牢固
310 、实验室的微波炉使用时应注意哪些内容？,A|B|C|D,A、微波炉开启后，会产生很强的电磁辐射，操作人员应远离。,B、严禁将易燃易爆等危险化学品放入微波炉中加热。,C、实验用微波炉严禁加热食品。,D、对密闭压力容器使用微波炉加热时应注意严格按照安全规范操作。
311 、实验室常用的加热热源包括,A|B|C|D,A、明火,B、水浴、蒸汽浴,C、油浴、沙浴、盐浴,D、电热板、电热罩
312 、关于紫外线消毒，下列说法正确的有,A|B|C|D,A、它可以是固定式的，也可以是活动式的，但距离被照射物不超过1.2m为宜,B、紫外线消毒方便实用，但不能彻底灭菌，特别是对细菌的芽孢杀灭效果较差,C、紫外线对人体有伤害作用，不可直视，更不能在开着的紫外灯光下工作,D、可见光能复活生物体中的光复活酶，使形成的二聚体拆开复原，所以不能同时开启日光灯和紫外灯
313 、大型仪器设备应对使用电源有一定的要求，下列选项正确的有（ ）,A|B|C,A、应有牢固可靠的地线（E）,B、所使用的电源应与周围的大型用电系统远一些,C、其中线（N）和火线（L）要正确连接
314 、为防止宿舍发生被盗案件，你应（ ）。,A|B|C|D,A、离开宿舍时将窗户关好，用钥匙反锁门,B、宿舍不能随便留宿外人,C、贵重物品（笔记本电脑等）不用时锁在柜子里,D、在楼道里发现可疑的陌生人要主动盘问，发现问题及时报告楼长
315 、混和生成高敏感、不稳定或者具有爆炸性物质的有,A|C|D|E,A、（亚）硝基化合物和碱,B、醚和醇类,C、烯烃和空气,D、氯酸盐和铵盐,E、亚硝酸盐和铵盐
316 、开始冲压操作前，应事先确认已经做好以下哪些事项（　）,A|B|C|D,A、认真检查防护装置的完好性,B、认真检查离合器的安全性,C、认真检查制动装置的安全性,D、清理干净工作台上一切不必要的物件
317 、判断下列选项中哪些是预防电气火灾最重要的基本措施。,A|C|E,A、实验室建设时要全面地规划电气需求，正确地设计方案，容量留有余地,B、从工作现场清除易燃易爆材料,C、禁止非电工改接电气线路，禁止乱拉临时用电线路,D、工作现场禁止吸烟，禁止带火柴、打火机等进入,E、规范使用操作，制定并严格执行用电和电气设备使用安全操作规程,F、做电器实验时应该2人及以上在场
318 、需要低温保存的安瓿瓶最好放在（）中存放,A|C|D,A、液氮的气相,B、液氮,C、超低温冰柜,D、干冰,E、冰箱
319 、防止人身触电事故发生的安全措施有（　）,A|B|D|,A、穿好绝缘防护鞋,B、戴好绝缘防护手套,C、正确使用焊接防护面罩,D、设备安全检查合格
320 、使用钻床铰孔时，铰刀如果倒转，可能发生什么情况,B|C|D,A、切屑飞入眼睛里,B、铰刀和孔壁之间容易挤住刀屑,C、孔壁划伤,D、铰刀刀刃崩裂
321 、取用试剂时，必须遵守的原则是（ ）。,A|B|C|D,A、不能用手接触试剂，以免危害健康和沾污试剂,B、瓶塞应倒置桌面上，以免弄脏，取用试剂后，立即盖严，将试剂瓶放回原处，标签朝外,C、要用干净的药匙取固体试剂，用过的药匙要洗净擦干才能再用,D、尽量不多取试剂，多取的试剂不能倒回原瓶，以免影响整瓶试剂纯度，应放入其它合适容器中另作处理或供他人使用
322 、造型期间，应严格做到,A|B|C,A、使用完的造型工具应及时放入工具箱,B、铁锹不用时应插牢，以免伤及其同学,C、在舂实砂型时手要离开砂箱，避免砸手,D、按自己喜好在工具箱中摆放造型工具
323 、一般将闪点在25°C以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。（）是易燃化学试剂。,A|B|D,A、乙醚,B、苯,C、水,D、汽油
324 、落沙清理完毕后，需要做的事情有（ ）,A|B|C|D,A、打扫现场,B、清理砂箱,C、整理工具箱,D、其它工具按照师傅的要求摆放
325 、为防止宿舍发生被盗案件，你应（ ）。,A|B|C|D,A、离开宿舍时将窗户关好，用钥匙反锁门,B、宿舍不能随便留宿外人,C、贵重物品（笔记本电脑等）不用时锁在柜子里,D、在楼道里发现可疑的陌生人要主动盘问，发现问题及时报告楼长
326 、塑料离心管可以盛放,C|D,A、有机溶剂,B、酶溶液,C、盐溶液,D、普通水溶液
327 、冲压过程中应注意以下哪些事项,A|B|C|D,A、冲小工件时，不得用手送工件，应使用专用工具,B、必须小心谨慎地控制脚踏开关,C、严禁外人在脚踏开关的周围停留,D、装卸工件时，脚应离开脚踏开关
328 、当车床启动后，主轴不旋转，其原因可能是（　）,A|B,A、车床电源开关未合上,B、主轴变速手柄未扳到位,C、车床离合手柄位置不对,D、开合螺母手柄处于中间位置
329 、下列物质属于剧毒物的是,A|C,A、氯酸钾,B、氢氧化钠,C、三氧化二砷,D、硫酸钡
330 、气体（）须在通风橱内进行操作。,A|B|C|D,A、硫化氢,B、氯化氢,C、氟化氢,D、溴
331 、被火困在室内怎么办？,B|D,A、跳楼。,B、到窗口或阳台挥动物品求救。,C、躲到床下,D、用床单或绳子拴在室内牢固处下到下一层逃生
332 、机床切削时禁止用手摸( ),A|B|C,A、工件,B、刀具,C、主轴旋转部位,D、床身
333 、自动加工前应先做好,A|B|C|D,A、装夹工件,B、传输程序,C、设置工件坐标系,D、模拟加工
334 、具有（）性质的化学品属于化学危险品。,A|B|C|D|E,A、爆炸,B、易燃,C、毒害,D、腐蚀,E、放射性
335 、浸泡消毒时，经常采用杀菌谱广、腐蚀性弱的水溶性化学消毒剂，常用的有,A|B,A、漂白粉,B、乙醇,C、甲醛,D、戊二醛
336 、使用摇臂钻床工作结束时，应做好哪些工作,A|C,A、将横臂降到最低位置,B、戴好防护手套,C、主轴箱靠近主轴,D、戴好防护眼镜
337 、使用干燥箱和恒温箱，应注意的事项有（ ）。,A|B|C|D,A、使用前检查电源，要有良好的接地线,B、箱内应保持清洁，放物网篮不得有锈，否则影响待干燥物品的洁净度,C、塑料、有机玻璃制品的加热温度不能超过60℃，玻璃制品的温度不能超过180℃,D、用温度不能超过干燥箱的最高允许温度，用毕要及时切断电源
338 、国家秘密的密级分为（ ）。,A|B|C,A、绝密,B、机密,C、秘密
339 、安全阀的校验是怎样规定的？,B|C|D,A、由于科学技术的高速发展，安全阀不必校验即可长期使用。,B、新安装的压力容器，在投入使用前必须先校验安全阀，否则不能投入使。,C、安全阀至少每年校验一次。,D、不得使用未经校验的安全阀。
340 、下面哪些行为不能在洁净室里进行？,A|B|C|D,A、抽烟。,B、用烙铁焊接。,C、配制溶液。,D、饮水和进食。
341 、静电的电量虽然不大，但其放电时产生的静电火花会有可能引起爆炸和火灾，比较常见的是放电时瞬间的电流造成精密实验仪器损坏，正确的预防措施有（　）。,A|B|C|,A、适当的提高工作场所的湿度,B、进行特殊危险实验时，操作人员应先接触设置在安全区内的金属接地棒，以消除人体电位,C、尽量穿不宜产生静电的工作服，不要在易产生静电的场所梳理头发
342 、取用化学药品时，以下哪些事项操作是正确的？,A|B|C|,A、取用腐蚀和刺激性药品时，尽可能带上橡皮手套和防护眼镜。,B、倾倒时，切勿直对容器口俯视；吸取时，应该使用橡皮球。,C、开启有毒气体容器时应带防毒用具。
343 、如果不慎发生割伤事故应（ ）。,A|B|C|D,A、先将伤口处的玻璃碎片取出,B、若伤口不大，用蒸馏水洗净伤口，再涂上红药水，撒上止血粉用纱布包扎好,C、伤口较大或割破了主血管，则应用力按住主血管，防止大出血,D、及时送医院治疗
344 、引发电气火灾的初始原因有多种，请从下列选项中选择4种最主要的。,A|C|D|F,A、电路接触不良。,B、带电改接电气线路。,C、线路或设备过电流运行。,D、电热器挨近可燃物。,E、工作现场有易燃易爆气体。,F、绝缘老化或破坏。
345 、大量集中使用气瓶应注意哪些问题,B|C,A、不必要设置符合要求的集中存放室,B、根据气瓶介质情况采取必要的防火、防爆、防电打火（包括静电）、防毒、防辐射等措施,C、.通风要良好，要有必要的报警装置
346 、物质燃烧必须同时具备的条件是（ ）。,A|B|C,A、着火源,B、助燃物,C、温度,D、可燃物
347 、液氮中保存安瓿瓶的要点是,A|B|C|D,A、安瓿瓶必须严格密封，若熔封不严或稍有破裂，液氮会渗入管内。在常温下，瓶外的温度相对很高，液氮急速气化膨胀，会发生爆炸,B、处理液氮时，应仔细操作。防止皮肤和液氮接触造成“冷烧伤”,C、安瓿瓶应存放在液氮的气相中，决不要浸在液氮中,D、从冷藏条件下取出安瓿瓶时，保护好手和眼等。安瓿瓶最好在超低温冰柜或干冰中保存
348 、车床安全操作规程中规定，车床启动前需要做的事情是（　）,B|C|D,A、进行极限位置检查,B、检查安全罩是否挂好,C、检查各手柄是否处于正常位置,D、检查工件和车刀是否已安装好
349 、使用供电延长线应注意,A|B|C,A、不得任意放置於通道上，以免因绝缘破损造成短路,"B、插座不足时，不能连续串接,以免造成超载或接触不良",C、插座不足时，不能连续分接，以免造成超载或接触不良
350 、国家秘密包括（ ）。,A|B|C|D|E,A、国家事务的重大决策中的秘密事项,B、国防建设和武装力量活动中的秘密事项,C、外交和外事活动中的秘密事项以及对外承担保密义务的事项,D、国民经济和社会发展中的秘密事项；科学技术中的秘密事项,E、维护国家安全活动和追查刑事犯罪中的秘密事项
351 、按爆炸过程的性质，通常将爆炸分为以下几种类型（ ）。,A|B|C,A、物理爆炸,B、化学爆炸,C、核爆炸,D、固体爆炸,E、液体爆炸
352 、新购制的玻璃器皿含有游离碱，先用（　）浸泡数小时后，再用清水洗净,A|B,A、2%的盐酸,B、铬酸洗涤液,C、氢氧化钠或碳酸氢钠稀溶液,D、市售洗涤剂
353 、以下哪些是摇臂钻床工作时不允许的,C|D,A、夹紧工件,B、不戴手套工作,C、在横臂上堆放物件,D、在工作台上堆放物件
354 、钳工工作时，一般情况下在着装上应该（　）,A|C|D,A、穿好工作服,B、戴防护手套,C、长发者要戴好防护帽,D、扎紧袖口
355 、以下哪几项是诱发安全事故的原因？,A|B|C|D,A、设备的不安全状态。,B、人的不安全行为。,C、不良的工作环境。,D、劳动组织管理的缺陷。
356 、取用试剂时，必须遵守的原则是（ ）。,A|B|C|D,A、不能用手接触试剂，以免危害健康和沾污试剂,B、瓶塞应倒置桌面上，以免弄脏，取用试剂后，立即盖严，将试剂瓶放回原处，标签朝外,C、要用干净的药匙取固体试剂，用过的药匙要洗净擦干才能再用,D、尽量不多取试剂，多取的试剂不能倒回原瓶，以免影响整瓶试剂纯度，应放入其它合适容器中另作处理或供他人使用
1 、易燃、易挥发的溶剂不得在敞口容器中加热，应选用水浴加热器，不得用明火直接加热,正确,A、正确,B、错误
2 、一般将闪点在25°C以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体,正确,A、正确,B、错误
3 、危险物质用惰性溶剂稀释后比较安全，该溶液若洒到布上，待溶剂蒸发变干后可以再使用,错误,A、正确,B、错误
4 、在钻床上工作时，如果钻头上缠有铁屑，应停车清理,正确,A、正确,B、错误
5 、保险丝和自动开关可以有效地防止电气火灾,错误,A、正确,B、错误
6 、乙醚、氯仿、笑气（N2O）具有麻醉作用,正确,A、正确,B、错误
7 、对于实验室内溅落的汞物体，应尽量捡拾起来放好，然后洒上硫磺、多硫化钙等使汞生成不挥发的难溶盐,正确,A、正确,B、错误
8 、不能在敞口容器中存放易燃易爆物质,正确,A、正确,B、错误
9 、实验废弃物应分类存放，及时送学校废弃物中转站，最后由学校联系有资质的公司进行处理。,正确,A、正确,B、错误
10 、在距离线路或变压器较近，有可能误攀登的建筑物上，必须挂有“禁止攀登，有电危险”的标示牌。,正确,A、正确,B、错误
11 、未经指导教师许可，不得搬弄仪器、设备，以及擅自开始实验。实验时，应注意安全，按要求操作，如发现异常立即停止。,正确,A、正确,B、错误
12 、可以在粉尘操作区饮食及吸烟。,错误,A、正确,B、错误
13 、在有爆炸和火灾危险场所使用手持式或移动式电动工具时，必须采用有防爆措施的电动工具。,正确,A、正确,B、错误
14 、钳工工作时，应穿好工作服，扎紧袖口，长发者要戴好防护帽。,正确,A、正确,B、错误
15 、实验室门口应挂上写有安全责任人的姓名和联系方式的牌子。,正确,A、正确,B、错误
16 、实验室内彼此保持安静，不得进行娱乐活动。,正确,A、正确,B、错误
17 、如果可燃液体在容器内燃烧时，应从容器的一侧上部向容器中喷射但注意不能将喷流直接喷射在燃烧液面上，防止灭火剂的冲力将可燃液体冲出容器而扩大火势,正确,A、正确,B、错误
18 、在使用高压灭菌锅、烤箱等高压加热设备时，必须有人值守。,正确,A、正确,B、错误
19 、体育运动中的安全防范措施多种多样：进行器材锻炼时一定要有人保护；向前摔倒时顺势作前滚翻，不要用手撑地；向后摔倒时，让身体自然倒地，不要用手撑地，顺势作后滚翻。,正确,A、正确,B、错误
20 、雷电发生时，如果作业人员孤立处于暴露区并感到头发竖起时，应该立即双膝下蹲，向前弯曲，双手抱膝。,正确,A、正确,B、错误
21 、使用强氧化剂时环境温度不宜过高，通风应良好，并不要与有机物或还原性物质共同使用,正确,A、正确,B、错误
22 、电动机试机时，可以一起动马上就按停机按钮。,错误,A、正确,B、错误
23 、作试验时，关合刀闸应当尽量慢，以保护设备。,错误,A、正确,B、错误
24 、废弃的放射源，必须报实验室与设备管理处，由实验室与设备管理处联系有资质的单位进行收贮，不得私自处理。,正确,A、正确,B、错误
25 、饮水加热器、灭菌锅等可以无水干烧。,错误,A、正确,B、错误
26 、做减压蒸馏时，如果没有梨形接收瓶，可用锥形瓶代替,错误,A、正确,B、错误
27 、铁锹不用时插牢，使用过程中注意不要伤到其他同学。,正确,A、正确,B、错误
"28 、用灭火器灭火时,灭火器的喷射口应该对准火焰的中部",错误,A、正确,B、错误
29 、电源插座、接线板、电线的容量应满足电器功率的需要,正确,A、正确,B、错误
30 、使用钻床钻孔时，身体与主轴可以靠近些，这样工作起来比较方便。,错误,A、正确,B、错误
31 、在实验室允许口尝鉴定试剂和未知物,错误,A、正确,B、错误
32 、灭菌：破坏或除去所有微生物及其孢子的过程。,正确,A、正确,B、错误
33 、实习期间，不准随意乱动铸造车间的设备，必须经师傅批准后在师傅指导下，方可启动,正确,A、正确,B、错误
34 、实验时要爱护实验设备，不要太注意自身的安全。,错误,A、正确,B、错误
35 、皮肤接触活泼金属(如钾、钠)，可用大量水冲洗,错误,A、正确,B、错误
36 、火灾对实验室构成的威胁最为严重，最为直接。应加强对火灾三要素（易燃物、助燃物、点火源）的控制。,正确,A、正确,B、错误
37 、肥胖产生的原因是由于进食过多，消耗过少，使摄入的热量超过了机体所消耗的热量，过多的热量在体内转变成脂肪并大量蓄积，造成脂肪组织异常增加所致。,正确,A、正确,B、错误
38 、全国消防宣传日是每年的11月9日。,正确,A、正确,B、错误
39 、不能将实验室易燃易爆物品带出实验室。,正确,A、正确,B、错误
40 、按国家有关规定处理有毒、带菌、腐蚀性的废气、废水和废物，集中统一处理放射性废物，谨防污染环境。,正确,A、正确,B、错误
41 、实验室内可以使用木制配电板、闸刀开关、花线电线。,错误,A、正确,B、错误
"42 、创伤伤口内有玻璃碎片等大块异物时,应在去医院救治前尽快取出",错误,A、正确,B、错误
43 、当发生火情时尽快沿着疏散指示标志和安全出口相反方向迅速离开火场。,错误,A、正确,B、错误
44 、使用钻床钻孔，无须牢固可靠地装夹工件。,错误,A、正确,B、错误
45 、节假日或假期做实验必须经导师批准，通知系办。,正确,A、正确,B、错误
46 、使用电子门禁的大楼和实验室，应对各类人员设置相应的级别，对于门禁卡丢失、人员调动或离校等情况应及时采取措施，办理报失或移交手续。,正确,A、正确,B、错误
47 、含有高压变压器或电容器的电子仪器对于使用者来说打开仪器盖是危险的。,正确,A、正确,B、错误
48 、气焊与气割前，必须检查输送气体的橡胶软管有无磨损、扎伤、老化、裂纹等现象，发现损坏应立即更新。,正确,A、正确,B、错误
49 、未经允许不得随意拆卸实验仪器和设备。,正确,A、正确,B、错误
50 、通常有害药品经呼吸器官、消化器官或皮肤吸入体内，引起中毒。因此，我们切忌口尝、鼻嗅及用手触摸药品,正确,A、正确,B、错误
51 、焊接场地应预留安全通道并保持畅通。,正确,A、正确,B、错误
52 、吊车司机在所吊物件就位固定前，不得离开工作岗位，不准在索具受力或起吊物悬空的情况下中断工作,正确,A、正确,B、错误
53 、室内发生电气火灾，应立即报警然后进行扑救。,错误,A、正确,B、错误
54 、发生强碱烧伤，应立即去除残留强碱，再以流动清水冲洗；若消化道被烧伤可适当服用一些牛奶、蛋清,正确,A、正确,B、错误
55 、操作机床前要穿好工作服，袖口扣紧，上衣下摆不能敞开，严禁戴手套，不得在开动的机床旁穿、脱换衣服，防止机器绞伤。,正确,A、正确,B、错误
56 、实验室人员发生触电时，应迅速切断电源，将触电者上衣解开，取出口中异物，然后进行人工呼吸。当患者恢复呼吸时，应立即送医院,正确,A、正确,B、错误
57 、实验室应时常监测生物安全柜以确保其设计性能符合相关要求。应保存检查记录和任何功能性测试结果，并在安全柜上标记检查证明。,正确,A、正确,B、错误
58 、冲床工作过程中，严禁检修和调整模具。,正确,A、正确,B、错误
59 、各学院每季度组织有关人员对实验室进行安全与卫生管理的例行检查，记录检查情况，提出存在的问题并限时整改。每次检查结束后须将检查结果形成报告，上报实验室处。,正确,A、正确,B、错误
60 、电炉、烘箱等用电设备在使用中，使用人员不得离开。,正确,A、正确,B、错误
61 、实验室安全工作的中心任务是防止发生人员伤亡和财产损失。,正确,A、正确,B、错误
62 、次氯酸钠一般不用作杀菌剂，常用于一般用途的消毒剂以及浸泡污染的非金属物质。 (答案：,正确,A、正确,B、错误
63 、高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶。,错误,A、正确,B、错误
64 、苯的爆炸极限是：1.4％～7.1％,正确,A、正确,B、错误
65 、对于触电事故，应立即切断电源或用有绝缘性能的木棍棒挑开和隔绝电流，如果触电者的衣服干燥，又没有紧缠住身上，可以用一只手抓住他的衣服，拉离带电体；但救护人不得接触触电者的皮肤，也不能抓他的鞋。,正确,A、正确,B、错误
66 、危险化学品，包括爆炸品、压缩气体和液化气体、易燃液体、易燃固体、自燃物品和遇湿易燃物品、氧化剂和有机过氧化物、有毒品和腐蚀品等,正确,A、正确,B、错误
67 、液体和固体实验废弃物不需分开放置。,错误,A、正确,B、错误
68 、开始冲压操作前，认真检查防护装置的完好性以及离合器和制动装置的安全性。,正确,A、正确,B、错误
69 、测试数据应进行异地备份。,正确,A、正确,B、错误
70 、触电事故是因电流流过人体而造成的。,正确,A、正确,B、错误
71 、进行需要戴防护眼镜的实验时，戴隐形眼镜的近视者可不戴防护眼镜。,错误,A、正确,B、错误
72 、因为实验需要，可以在实验室存放大量气体钢瓶。,错误,A、正确,B、错误
73 、用水时要禁止跑、冒、滴、漏现象存在。,正确,A、正确,B、错误
74 、创造安全、卫生的实验室工作环境，仅仅是实验工作人员的责任。,错误,A、正确,B、错误
75 、发现被盗或人为破坏，应保护现场并立即报告保卫处。,正确,A、正确,B、错误
76 、实验进行前可以不了解实验仪器的使用说明及注意事项，实验过程中要严格按照操作规程进行操作。,错误,A、正确,B、错误
77 、进行需要戴防护眼镜的实验时，戴隐形眼镜的近视者可不戴防护眼镜。,错误,A、正确,B、错误
78 、人体触电致死，是由于肝脏受到严重伤害。,错误,A、正确,B、错误
79 、实验结束后，生物安全柜内使用过的仪器、设备等物品可能被污染，故应消毒后才可从柜内移出。,正确,A、正确,B、错误
80 、在使用、操作具有毒害性及腐蚀性的化学品时，若发生中毒、灼伤事故，应掌握一定的现场急救措施，然后去医院就医。,正确,A、正确,B、错误
81 、急救时伤口包扎松劲适度，不可过紧或过松，以防滑脱或压迫神经和血管，影响远端血液循环，甚至造成肢体坏死。,正确,A、正确,B、错误
82 、火灾发生后，当所有的逃生线路被大火封锁时，应立即退回室内，用手电筒、挥舞衣物、呼叫等方式向窗外发送求救信号，等待救援。,正确,A、正确,B、错误
83 、安瓿瓶最好在超低温冰柜或干冰中保存,正确,A、正确,B、错误
84 、隔离灭火法是将可燃物与引火源或氧气隔离开来，可防止火势继续扩大。,正确,A、正确,B、错误
85 、被困在电梯中应尽快扒开门脱险。,错误,A、正确,B、错误
86 、在钻床上工作时，如果钻头上缠有长铁屑，在不停车的情况下，可以用刷子或铁钩清除长铁屑。,错误,A、正确,B、错误
87 、紫外线消毒方便实用，但不能彻底灭菌，特别对细菌的芽孢杀灭效果较差。,正确,A、正确,B、错误
88 、使用大功率的实验设备前，要检查线路是否接地。,正确,A、正确,B、错误
89 、人体触电致死，是由于肝脏受到严重伤害。,错误,A、正确,B、错误
90 、只要不影响实验，可以在实验室洁净区域铺床睡觉。,错误,A、正确,B、错误
91 、数控电火花线切割机床在加工时，可以用手触摸钼丝。,错误,A、正确,B、错误
92 、实验室内可以使用电炉等取暖、做饭。,错误,A、正确,B、错误
93 、超声波机床加工时发出的噪音构成噪音污染。,正确,A、正确,B、错误
